77.556 -7844 16312 16204 -1911 22 -85
77.558 -7928 16560 16556 -1793 -230 -9
77.56 -7252 18292 17548 -2056 -318 11
77.562 -7176 19496 17672 -2182 -353 -59
77.565 -6784 19180 17340 -1952 -417 -150
77.567 -5584 19724 17432 -1876 -328 -358
77.569 -5492 21160 19244 -2289 -283 -627
77.571 -6004 22164 20872 -2820 -312 -813
77.573 -6312 21972 22144 -3338 -315 -1003
77.576 -5576 19240 22892 -3574 -186 -1160
77.578 -7940 17720 24676 -3974 -43 -1246
77.58 -9604 14864 25800 -3964 78 -1146
77.582 -10668 12480 26968 -3912 263 -956
77.585 -12324 9452 29884 -3818 373 -618
77.587 -13648 8568 29848 -3560 155 -358
77.589 -16728 7356 32767 -3903 202 -205
77.591 -16692 3312 32767 -3184 217 93
77.593 -15464 304 32767 -2530 66 556
77.596 -16072 1412 32767 -2959 -460 939
77.598 -13824 -3280 32767 -2050 -1581 530
77.6 -18376 -6212 32767 262 -4602 1142
77.602 -20300 8592 32767 -9613 -3772 940
77.605 20 -15916 6052 5859 -2641 1765
77.607 -10388 1096 32767 -11116 -7389 1366
77.609 -4892 -14424 15180 5611 -4995 1770
77.611 -1392 -7652 32767 -6921 -7122 1437
77.613 -248 -4260 32767 969 -5634 1383
77.616 3368 -8336 32767 -1237 -5653 1339
77.618 4304 -7628 32767 -2116 -5740 1055
77.62 8476 -14080 30256 1257 -4102 935
77.622 6768 -7700 32767 -2647 -4751 536
77.625 8916 -15004 32767 1802 -3433 321
77.627 7360 -9924 32767 -1162 -3697 -9
77.629 11024 -12848 32767 853 -2785 -250
77.631 11736 -16368 32767 1174 -2414 -478
77.633 8680 -13008 32767 236 -2502 -741
77.636 12196 -14248 32767 1761 -1521 -1015
77.639 10152 -12304 32767 151 -1614 -1364
77.641 11884 -14204 32767 1313 -889 -1587
77.643 11388 -13280 32767 154 -734 -1873
77.645 11060 -14428 32767 1158 -304 -2108
77.648 11612 -14608 32767 611 -146 -2358
77.65 11524 -15040 32767 886 165 -2632
77.652 11936 -15008 32767 784 453 -2846
77.654 11292 -14864 32767 643 592 -3100
77.657 10940 -16060 32767 962 813 -3260
77.659 10536 -15760 32767 866 948 -3442
77.661 9820 -15640 32767 1214 1136 -3722
77.663 8960 -15632 32767 1217 1225 -3961
77.665 8324 -15612 32767 1497 1346 -4078
77.668 6400 -14880 32767 1534 1338 -4243
77.67 4972 -14312 32767 1655 1286 -4385
77.672 4076 -13796 32767 1803 1252 -4482
77.674 3092 -13124 32767 1832 1188 -4576
77.677 1388 -12456 31860 2093 1122 -4649
77.679 876 -11532 31448 2120 1067 -4721
77.681 464 -10712 30880 2257 1106 -4770
77.683 508 -10428 30316 2386 1219 -4817
77.686 156 -10168 30556 2552 1400 -4858
77.688 -968 -9928 29828 2742 1440 -4918
77.69 -1860 -9708 29140 2981 1340 -4965
77.692 -2476 -8516 28592 3023 1297 -4965
77.694 -2892 -7664 27604 3144 1265 -4938
77.697 -3528 -7644 26780 3306 1184 -4907
77.699 -3616 -7676 25972 3535 1110 -4859
77.701 -3572 -7540 25132 3770 1022 -4796
77.703 -3968 -6668 24572 3881 923 -4768
77.706 -3956 -5500 23352 3951 809 -4726
77.708 -3568 -5128 22416 4055 733 -4670
77.71 -3572 -4900 21552 4169 625 -4619
77.712 -3712 -4588 20548 4296 492 -4579
77.714 -3460 -3704 18936 4385 388 -4550
77.717 -3312 -2820 17948 4396 234 -4538
77.719 -3208 -2200 16792 4408 115 -4532
77.721 -3456 -1584 15420 4389 -61 -4520
77.723 -3296 -912 14156 4319 -256 -4521
77.726 -2984 -176 12116 4234 -386 -4530
77.728 -3104 472 11648 4094 -544 -4580
77.73 -3288 1288 10792 3888 -685 -4572
77.732 -3124 1952 9680 3639 -795 -4561
77.734 -3572 2792 8380 3368 -892 -4612
77.737 -3920 2976 7412 3084 -1035 -4613
77.739 -3756 3276 5820 2917 -1172 -4620
77.741 -4320 3292 5216 2618 -1346 -4642
77.743 -4448 3644 4544 2325 -1548 -4604
77.746 -4624 4444 2940 2045 -1711 -4618
77.748 -4728 4660 2240 1734 -1833 -4666
77.75 -4628 4752 1668 1451 -1891 -4679
77.752 -4436 4816 936 1209 -1910 -4655
77.754 -4224 5236 236 900 -1924 -4664
77.757 -3896 5564 116 581 -1885 -4662
77.759 -3952 5604 -780 322 -1806 -4647
77.761 -4016 5728 -1188 38 -1750 -4655
77.763 -3872 6196 -1532 -211 -1689 -4626
77.766 -3764 6268 -1764 -535 -1618 -4601
77.768 -3808 6468 -1796 -809 -1540 -4532
77.77 -3832 6340 -2012 -1026 -1510 -4534
77.772 -3784 6348 -2496 -1222 -1406 -4445
77.775 -3756 6124 -2736 -1418 -1370 -4439
77.777 -3872 6100 -3180 -1602 -1337 -4327
77.779 -3888 6220 -3128 -1829 -1315 -4225
77.781 -4120 6180 -3520 -1963 -1344 -4110
77.783 -4408 5932 -4540 -2069 -1392 -3994
77.786 -4308 5888 -4276 -2258 -1444 -3788
77.788 -4052 6128 -4608 -2431 -1457 -3538
77.79 -3904 6532 -4056 -2763 -1536 -3331
77.792 -3748 6816 -4148 -2968 -1630 -3079
77.794 -3120 6688 -4112 -3256 -1660 -2787
77.797 -2788 6560 -4416 -3448 -1762 -2521
77.799 -2560 6360 -4512 -3646 -1880 -2247
77.801 -2200 6444 -4636 -3837 -2055 -1939
77.803 -1840 6208 -4584 -3919 -2229 -1697
77.806 -1724 6032 -4568 -4055 -2481 -1421
77.808 -1268 5996 -4140 -4161 -2718 -1160
77.81 -832 5992 -4396 -4282 -2967 -961
77.812 -396 5716 -4476 -4313 -3218 -795
77.814 464 5448 -4160 -4384 -3397 -627
77.817 1020 5188 -4112 -4461 -3625 -519
77.819 1712 4952 -4276 -4439 -3758 -392
77.821 2172 4740 -4260 -4446 -3891 -348
77.823 2856 4368 -3740 -4438 -3974 -319
77.826 3196 3936 -3540 -4364 -4036 -319
77.828 3620 3920 -3160 -4350 -4104 -361
77.83 4032 3876 -2664 -4275 -4120 -400
77.832 4416 3992 -1608 -4304 -4155 -480
77.834 4924 3772 -660 -4216 -4142 -599
77.837 5284 3408 -188 -4063 -4195 -704
77.839 5396 3144 792 -3869 -4216 -931
77.841 5712 2964 2304 -3721 -4294 -1100
77.843 6000 2820 4040 -3521 -4317 -1319
